| Ciphersuite                                 | Peak   | Total    |
+---------------------------------------------+--------+----------+
| X25519_Ed25519                              | 1.2 MB | 88.7 MB  |
| X25519_CHA_Ed25519                          | 1.2 MB | 88.9 MB  |
| X448_Ed448                                  | 1.2 MB | 127.1 MB |
| P256_ECDSA                                  | 1.2 MB | 92.8 MB  |
| P384_ECDSA                                  | 1.2 MB | 118.3 MB |
| MLKEM512_Ed25519                            | 1.3 MB | 297.4 MB |
| MLKEM768_Ed25519                            | 1.3 MB | 397.6 MB |
| MLKEM768_CHA_Ed25519                        | 1.3 MB | 388.4 MB |
| MLKEM1024_Ed25519                           | 1.4 MB | 548.2 MB |
| MLKEM512_P256                               | 1.3 MB | 298.9 MB |
| MLKEM768_P256                               | 1.3 MB | 399.1 MB |
| MLKEM1024_P384                              | 1.4 MB | 552.2 MB |
| MLKEM512_MLDSA44                            | 1.5 MB | 549.8 MB |
| MLKEM768_MLDSA65                            | 1.6 MB | 734.8 MB |
| MLKEM1024_MLDSA87                           | 1.8 MB | 953.8 MB |
| XWing_Ed25519                               | 1.3 MB | 271.6 MB |
| MLKEM768_CHA_Ed25519/X25519_CHA_Ed25519/1   | 1.9 MB | 564.8 MB |
| MLKEM768_CHA_Ed25519/X25519_CHA_Ed25519/2   | 1.5 MB | 327.6 MB |
| MLKEM768_CHA_Ed25519/X25519_CHA_Ed25519/5   | 1.4 MB | 185.7 MB |
| MLKEM768_CHA_Ed25519/X25519_CHA_Ed25519/10  | 1.4 MB | 138.2 MB |
| MLKEM768_CHA_Ed25519/X25519_CHA_Ed25519/50  | 1.4 MB | 99.8 MB  |
| MLKEM768_CHA_Ed25519/X25519_CHA_Ed25519/100 | 1.4 MB | 95.4 MB  |
| MLKEM768_CHA_MLDSA65/X25519_CHA_Ed25519/1   | 2.2 MB | 903.2 MB |
| MLKEM768_CHA_MLDSA65/X25519_CHA_Ed25519/2   | 1.8 MB | 497.6 MB |
| MLKEM768_CHA_MLDSA65/X25519_CHA_Ed25519/5   | 1.6 MB | 254.3 MB |
| MLKEM768_CHA_MLDSA65/X25519_CHA_Ed25519/10  | 1.6 MB | 172.9 MB |
| MLKEM768_CHA_MLDSA65/X25519_CHA_Ed25519/50  | 1.6 MB | 108.7 MB |
| MLKEM768_CHA_MLDSA65/X25519_CHA_Ed25519/100 | 1.6 MB | 100.8 MB |
| MLKEM512_Ed25519/X25519_Ed25519/1           | 1.9 MB | 473.1 MB |
| MLKEM512_Ed25519/X25519_Ed25519/10          | 1.3 MB | 128.4 MB |
| MLKEM512_Ed25519/X25519_Ed25519/50          | 1.3 MB | 97.8 MB  |
| MLKEM512_Ed25519/X25519_Ed25519/100         | 1.3 MB | 93.7 MB  |
| MLKEM768_Ed25519/X25519_Ed25519/1           | 1.9 MB | 574.2 MB |
| MLKEM768_Ed25519/X25519_Ed25519/10          | 1.4 MB | 138.6 MB |
| MLKEM768_Ed25519/X25519_Ed25519/50          | 1.4 MB | 99.6 MB  |
| MLKEM768_Ed25519/X25519_Ed25519/100         | 1.4 MB | 95.3 MB  |
| MLKEM1024_Ed25519/X25519_Ed25519/1          | 2.0 MB | 723.8 MB |
| MLKEM1024_Ed25519/X25519_Ed25519/10         | 1.4 MB | 153.7 MB |
| MLKEM1024_Ed25519/X25519_Ed25519/50         | 1.4 MB | 103.5 MB |
| MLKEM1024_Ed25519/X25519_Ed25519/100        | 1.4 MB | 97.2 MB  |
| MLKEM512_P256/P256_ECDSA/1                  | 1.9 MB | 480.9 MB |
| MLKEM512_P256/P256_ECDSA/10                 | 1.3 MB | 133.4 MB |
| MLKEM512_P256/P256_ECDSA/50                 | 1.3 MB | 102.8 MB |
| MLKEM512_P256/P256_ECDSA/100                | 1.3 MB | 98.9 MB  |
| MLKEM768_P256/P256_ECDSA/1                  | 1.9 MB | 582.2 MB |
| MLKEM768_P256/P256_ECDSA/10                 | 1.4 MB | 143.7 MB |
| MLKEM768_P256/P256_ECDSA/50                 | 1.4 MB | 104.9 MB |
| MLKEM768_P256/P256_ECDSA/100                | 1.4 MB | 100.2 MB |
| MLKEM1024_P384/P384_ECDSA/1                 | 2.1 MB | 783.2 MB |
| MLKEM1024_P384/P384_ECDSA/10                | 1.4 MB | 186.7 MB |
| MLKEM1024_P384/P384_ECDSA/50                | 1.4 MB | 134.1 MB |
| MLKEM1024_P384/P384_ECDSA/100               | 1.4 MB | 127.7 MB |
| MLKEM512_MLDSA44/X25519_Ed25519/1           | 2.0 MB | 725.8 MB |
| MLKEM512_MLDSA44/X25519_Ed25519/10          | 1.5 MB | 154.4 MB |
| MLKEM512_MLDSA44/X25519_Ed25519/50          | 1.5 MB | 103.9 MB |
| MLKEM512_MLDSA44/X25519_Ed25519/100         | 1.5 MB | 97.4 MB  |
| MLKEM768_MLDSA65/X448_Ed448/1               | 2.5 MB | 953.8 MB |
| MLKEM768_MLDSA65/X448_Ed448/2               | 2.0 MB | 560.2 MB |
| MLKEM768_MLDSA65/X448_Ed448/5               | 1.7 MB | 302.4 MB |
| MLKEM768_MLDSA65/X448_Ed448/10              | 1.6 MB | 216.4 MB |
| MLKEM768_MLDSA65/X448_Ed448/50              | 1.6 MB | 147.7 MB |
| MLKEM768_MLDSA65/X448_Ed448/100             | 1.6 MB | 139.1 MB |
| MLKEM1024_MLDSA87/X448_Ed448/1              | 2.6 MB | 953.8 MB |
| MLKEM1024_MLDSA87/X448_Ed448/10             | 1.8 MB | 248.4 MB |
| MLKEM1024_MLDSA87/X448_Ed448/50             | 1.8 MB | 154.8 MB |
| MLKEM1024_MLDSA87/X448_Ed448/100            | 1.8 MB | 143.6 MB |
